word,emotion
gun,surprise
shawl,surprise
when,surprise
mood,surprise
pad,surprise
laud,surprise
book,surprise
choice,surprise
neat,surprise
rot,surprise
long,surprise
youth,surprise
should,surprise
tool,surprise
dog,surprise
jug,surprise
fail,surprise
mill,surprise
lot,surprise
jar,surprise
mop,surprise
lose,surprise
ripe,surprise
moon,surprise
pass,surprise
puff,surprise
keg,surprise
sure,surprise
judge,surprise
kick,surprise
merge,surprise
soup,surprise
live,surprise
witch,surprise
page,surprise
gin,surprise
gas,surprise
lore,surprise
keep,surprise
join,surprise
mouse,surprise
hole,surprise
vote,surprise
shout,surprise
yearn,surprise
cheek,surprise
wife,surprise
juice,surprise
limb,surprise
mob,surprise
bean,surprise
have,surprise
king,surprise
bar,surprise
knock,surprise
haze,surprise
said,surprise
shirt,surprise
sell,surprise
pike,surprise
voice,surprise
rose,surprise
time,surprise
raise,surprise
walk,surprise
learn,surprise
take,surprise
cab,surprise
make,surprise
whip,surprise
tip,surprise
tire,surprise
met,surprise
calm,surprise
bone,surprise
vine,surprise
shall,surprise
cause,surprise
ring,surprise
rain,surprise
pool,surprise
nice,surprise
thumb,surprise
week,surprise
note,surprise
numb,surprise
base,surprise
luck,surprise
lean,surprise
keen,surprise
jail,surprise
chair,surprise
pick,surprise
five,surprise
south,surprise
room,surprise
wag,surprise
beg,surprise
such,surprise
near,surprise
talk,surprise
chain,surprise
rush,surprise
bought,surprise
match,surprise
name,surprise
mess,surprise
read,surprise
void,surprise
pearl,surprise
kill,surprise
wash,surprise
yes,surprise
sub,surprise
third,surprise
turn,surprise
white,surprise
team,surprise
chat,surprise
pole,surprise
burn,surprise
wheat,surprise
food,surprise
pain,surprise
hit,surprise
chief,surprise
gaze,surprise
home,surprise
hate,surprise
dead,surprise
back,surprise
death,surprise
nag,surprise
doll,surprise
dab,surprise
soap,surprise
dip,surprise
goal,surprise
ton,surprise
date,surprise
came,surprise
hall,surprise
boat,surprise
seize,surprise
loaf,surprise
chalk,surprise
sour,surprise
dodge,surprise
sheep,surprise
reach,surprise
wire,surprise
late,surprise
tell,surprise
hash,surprise
mode,surprise
get,surprise
far,surprise
young,surprise
hush,surprise
phone,surprise
sail,surprise
peg,surprise
love,surprise
life,surprise
rag,surprise
rat,surprise
kite,surprise
shack,surprise
lease,surprise
germ,surprise
bite,surprise
raid,surprise
cool,surprise
fit,surprise
tough,surprise
bath,surprise
road,surprise
door,surprise
hurl,surprise
size,surprise
perch,surprise
which,surprise
lid,surprise
good,surprise
red,surprise
thin,surprise
search,surprise
fall,surprise
deep,surprise
gap,surprise
thought,surprise
dime,surprise
ditch,surprise
check,surprise
goose,surprise
half,surprise
hire,surprise
fat,surprise
rough,surprise
tape,surprise
choice,sad
back,sad
should,sad
fat,sad
beg,sad
such,sad
cheek,sad
dodge,sad
bar,sad
puff,sad
hate,sad
chief,sad
soup,sad
talk,sad
fit,sad
raise,sad
limb,sad
hit,sad
jail,sad
ditch,sad
mob,sad
thin,sad
witch,sad
long,sad
soap,sad
hire,sad
wash,sad
have,sad
bath,sad
dip,sad
yearn,sad
peg,sad
calm,sad
walk,sad
juice,sad
moon,sad
gin,sad
king,sad
keen,sad
read,sad
numb,sad
dime,sad
join,sad
lid,sad
chain,sad
bone,sad
lose,sad
shall,sad
thumb,sad
rot,sad
chalk,sad
shout,sad
base,sad
nag,sad
shawl,sad
hush,sad
late,sad
reach,sad
death,sad
when,sad
vote,sad
half,sad
pass,sad
rag,sad
nice,sad
kill,sad
live,sad
check,sad
cab,sad
neat,sad
merge,sad
page,sad
tape,sad
near,sad
tell,sad
pike,sad
five,sad
wire,sad
doll,sad
week,sad
knock,sad
dog,sad
whip,sad
goal,sad
rat,sad
home,sad
tire,sad
sell,sad
sour,sad
thought,sad
pick,sad
pad,sad
chat,sad
vine,sad
luck,sad
keep,sad
gas,sad
said,sad
lease,sad
gap,sad
met,sad
sheep,sad
ton,sad
sail,sad
note,sad
keg,sad
shack,sad
pool,sad
far,sad
learn,sad
jug,sad
dead,sad
lore,sad
pain,sad
turn,sad
mode,sad
voice,sad
loaf,sad
date,sad
mill,sad
cause,sad
tip,sad
time,sad
bite,sad
rush,sad
boat,sad
dab,sad
cool,sad
pole,sad
jar,sad
gaze,sad
life,sad
rose,sad
kick,sad
void,sad
room,sad
get,sad
door,sad
youth,sad
which,sad
sure,sad
chair,sad
fall,sad
goose,sad
yes,sad
seize,sad
bean,sad
road,sad
lean,sad
hole,sad
judge,sad
lot,sad
match,sad
name,sad
hall,sad
red,sad
tough,sad
laud,sad
hash,sad
young,sad
gun,sad
team,sad
kite,sad
bought,sad
fail,sad
mood,sad
burn,sad
shirt,sad
wife,sad
mouse,sad
third,sad
haze,sad
south,sad
ripe,sad
mess,sad
white,sad
raid,sad
good,sad
wag,sad
came,sad
pearl,sad
food,sad
search,sad
ring,sad
mop,sad
phone,sad
tool,sad
perch,sad
size,sad
germ,sad
book,sad
rain,sad
rough,sad
hurl,sad
wheat,sad
love,sad
sub,sad
deep,sad
make,sad
take,sad
merge,fear
rot,fear
lot,fear
wag,fear
make,fear
hurl,fear
fail,fear
voice,fear
mode,fear
chat,fear
perch,fear
chair,fear
bite,fear
chalk,fear
wife,fear
young,fear
shout,fear
check,fear
said,fear
doll,fear
gas,fear
lid,fear
seize,fear
food,fear
goal,fear
room,fear
mess,fear
tool,fear
keep,fear
pain,fear
gin,fear
good,fear
bought,fear
talk,fear
keen,fear
void,fear
south,fear
dead,fear
half,fear
yearn,fear
cause,fear
rush,fear
gap,fear
date,fear
dime,fear
near,fear
beg,fear
ton,fear
sure,fear
name,fear
back,fear
vote,fear
sheep,fear
numb,fear
turn,fear
cheek,fear
hall,fear
sell,fear
fall,fear
rain,fear
jug,fear
kill,fear
take,fear
soap,fear
lean,fear
thought,fear
dab,fear
knock,fear
vine,fear
witch,fear
pad,fear
peg,fear
learn,fear
hire,fear
met,fear
have,fear
pool,fear
hit,fear
size,fear
ring,fear
fat,fear
shall,fear
chain,fear
laud,fear
puff,fear
dip,fear
pole,fear
sour,fear
wash,fear
germ,fear
shack,fear
ripe,fear
dodge,fear
third,fear
soup,fear
hash,fear
hole,fear
tape,fear
chief,fear
page,fear
join,fear
should,fear
time,fear
mop,fear
luck,fear
shirt,fear
choice,fear
neat,fear
bean,fear
goose,fear
wire,fear
such,fear
mob,fear
came,fear
tip,fear
tell,fear
whip,fear
get,fear
match,fear
live,fear
mill,fear
note,fear
mouse,fear
lore,fear
tire,fear
youth,fear
phone,fear
ditch,fear
wheat,fear
book,fear
pike,fear
rough,fear
nice,fear
rose,fear
loaf,fear
sub,fear
kick,fear
keg,fear
door,fear
jail,fear
rag,fear
raise,fear
gun,fear
deep,fear
king,fear
road,fear
death,fear
sail,fear
nag,fear
fit,fear
haze,fear
jar,fear
life,fear
kite,fear
late,fear
white,fear
